airport_name,delay_ratio
"Bullhead City, Az: Laughlin/Bullhead International",1
"Pago Pago, Tt: Pago Pago International",0.400646447
"Aguadilla, Pr: Rafael Hernandez",0.354448983
"Cold Bay, Ak: Cold Bay Airport",0.342795139
"Wilmington, De: New Castle",0.312910945
"Stockton, Ca: Stockton Metro",0.294605717
"Morgantown, Wv: Morgantown Municipal Walter L Bill Hart Field",0.289473684
"Punta Gorda, Fl: Punta Gorda Airport",0.288621342
"Ponce, Pr: Mercedita",0.287973237
"Presque Isle/Houlton, Me: Presque Isle International",0.271014565
